,username,name,tweet
41,tommiemedia,TommieMedia,"St. Thomas post-graduation job rates remain high amid the COVID-19 pandemic, stating that 97% of graduates are employed or continuing education post-undergraduate degree, according to Career Development, compared to the U.S. average 86%.  https://t.co/z48icmf4u9"
42,sasa_d1m,Sasa,"@Bmore_Creative @lobbygrl @AndreaHorwath @StevenDelDuca @OntarioNDP @ontario_liberal In principle, you are right. In case of this particular election, replacing Ford by NDP would lead to a disproportionate improvement, so it should be a no brainer. Just imagine that we had a party that didn't fight  teachers, cut education and healthcare funding during pandemic"
43,paul4chepstow,Paul Pavia,"Well I only got to do the role for a year but loved every minute of the education brief. Seeing schools emerge out of the pandemic, laying the key planks  for a new school in Abergavenny, a new curriculum and ALN reform, setting an ambitious 10 year plan to grow Welsh Medium 👇🏻"
44,cadepted,CA Department of Education,"Given all the challenges students have faced during the pandemic, now is the right time to link our K-12 students with volunteer mentors and tutors through programs such as this one, as one more way we can support students as they heal and recover."
45,hppr,High Plains Public Radio,"""It appears to be more permanently down, and not just a one-year COVID anomaly.""  From @SuzPerezICT of @ksnewsservice: The pandemic shrunk Kansas public school enrollment and that means cuts in education budgets    https://t.co/9CukEk1gzC"
46,policylabchop,PolicyLabCHOP,"“It was complicated before the pandemic, it’s more complicated now.” - @scontrerasGCS setting up our conversation “Cross-sector Partnerships to Support Schools in COVID-19 Recovery and Beyond: The Vision from Education Leaders. @paolodemaria, @SDPHite, @valeriestrauss  https://t.co/FUFBxqmNP6"
47,debbiedowneront,DebbieDowner,"@Sflecce How many of their friends and family members lost relatives in LTC during this pandemic?  These deaths are a direct result of your government’s inability to make educated scientific decisions?  Also, did any ask you why you’re neglecting the education portfolio?"
48,domenicomonte15,Domenico Monteleone,Race for Ontario: Parties spar over future of education post-pandemic  https://t.co/7cv9sC5qN4 via @ https://twitter.com/hereforstudents
49,michaelconn_ny,Michael Conn,Another consequence of the pandemic?  An increase in students held back in 9th grade.  via @The74    https://t.co/48fXcwaHZD  @SRF_HQ #edchat #education
50,nspa_tweets,NSPA,"The steep decline in FAFSA renewal rates dwarfs declines from earlier in the pandemic, and signals a potential abandonment of higher education goals by some students in favor of a hot job market, experts say.  https://t.co/kMhuepllv1"
51,chronicle,The Chronicle of Higher Education,"ICYMI: A recent suicide shined a spotlight on tensions sharpened by the Covid-19 pandemic, with resources tight, staff burned out, and the demand for services growing.  https://t.co/AjNAM0pRhq"
52,wilddaisys1,"Wilddaisys, Pandemic Nurse","@Nonnie_Linda @Cardiac_Cutie I do this too, but some people believe that a 15 minute late med won't work as well. Lately, in the last few years, patients and family members have become much more resistive to education. Makes the job hard when you have to put so much energy into getting someone to listen."
53,aluckyguy2,aluckyguy,"@_Chuck_Hunter I used to work in a poor area. Most of the employees wouldn’t take the employer matched 401k because they didn’t want to have less paycheck, and they didn’t understand it. Literally begged my coworkers to sign up for the free money. Lack of financial education is a pandemic"
54,keithhannon,Keith Hannon,Ralph will talk tech strategies and how they can help address pre-pandemic trends that were made worse by the pandemic. #casesmc #education
55,bethfertig,Beth Fertig,"“We’re a generation that’s going to have people with two-year holes in their education."" Exclusive Data: Freshmen, Held Back During Pandemic, Fuel ‘Bulge’ in 9th Grade Enrollment @The74  https://t.co/OJivVtMqlp"
56,kat_hy1,Kathy Roach Price 🕷,"@DeniCorb @_LisaCherry My response was more to do with the Pandemic than exclusions for 5 year olds, I question whether they should even be in school having formal education at that age."
57,thegrade_,The Grade,"As pandemic wanes, Denver looks to make up missed special education services | @MelanieAsmar for @ChalkbeatCO  https://t.co/ALIcvNJJ4K"
58,joelgombiner,Joel,"The pandemic is a mass death and disability event, a collapse of the education and health care systems, a huge widening of wealth inequality, the end of globalization, and an energy crisis all rolled in to one."
59,educationweek,Education Week,"Tuxedos, Gowns, and COVID-Sniffing Dogs: A Pandemic Prom  https://t.co/G277hiXyXe  https://t.co/GB5wdFnjqD"
60,scadconnector,The Connector,What is the state of education after two years in a pandemic? A professor’s perspective  https://t.co/IRg6ThfsYP #scadatl #scadconnector
61,debtcrisisorg,Student Debt Crisis Center (SDCC),"FACT: Young people, people of color, &amp; undocumented people were hit hard from the pandemic’s economic/health crises. We can't allow student debt to make problems worse. @CAgovernor @SenToniAtkins @Rendon63rd please invest MORE in borrower outreach and education. #ProtectBorrowers  https://t.co/L1eABJ0hQL"
62,makahorney,Makafui Ahorney,"I guess you can call it a success story when you make testing inaccessible, completely fail at public education and then pretend the pandemic no longer exists."
63,group_kq,KQ education group,La Jolla High School art show to tackle student identity in wake of pandemic  https://t.co/WSzvACrIft
64,volcoucou,Isabelle Hau,"With the pandemic, I cherish the rare opportunities for travel.   In DC this week- 1st time meeting in person my fellow board members and fabulous team ⁦@EDCtweets⁩, an org doing impactful work in education &amp; health globally (I joined the board of 18mo ago- so lots of zoom)  https://t.co/O2zBP0Yy17"
